,Deg,Cc,Ne
Subject_003,41.436231,0.996865,0.476405
Subject_013,34.467684,0.999805,0.390656
Subject_014,29.868473,1.0,0.337732
Subject_015,36.050586,0.992073,0.428456
Subject_020,34.995866,0.999611,0.402198
Subject_024,26.907981,0.953122,0.356951
Subject_025,48.641919,1.0,0.547173
Subject_033,26.27561,1.0,0.300302
Subject_034,56.539563,1.0,0.635577
Subject_037,30.1783,1.0,0.340207
Subject_038,39.265706,0.987843,0.462107
Subject_039,31.34467,0.997742,0.366595
Subject_040,31.257985,0.99775,0.365716
Subject_041,36.608922,1.0,0.419941
Subject_045,31.786014,0.999799,0.369057
Subject_056,32.378662,0.996084,0.381938
