,deg,cc,ne,deg,cc,ne,deg,cc,ne
0,3.697331,1.0,0.616222,21.37642,1.0,0.496257,17.52787,0.990728,0.482637
1,3.602617,1.0,0.600436,16.592034,1.0,0.380142,15.819405,1.0,0.42902
2,2.863898,1.0,0.477316,14.728134,1.0,0.336094,12.992405,1.0,0.35468
3,3.422151,1.0,0.570358,17.563044,0.98312,0.433089,15.854265,0.997896,0.441411
4,3.257435,1.0,0.542906,20.513986,1.0,0.466594,12.422876,0.997493,0.349148
5,2.744686,1.0,0.472673,13.326331,0.957381,0.364207,11.307419,0.952436,0.346232
6,4.176456,1.0,0.696076,24.157992,1.0,0.5493,21.37963,1.0,0.578259
7,2.707587,1.0,0.451265,12.739339,1.0,0.295758,11.666033,1.0,0.317282
8,4.61418,1.0,0.76903,29.730456,1.0,0.675692,22.103715,1.0,0.598008
9,3.219954,1.0,0.536659,15.338858,1.0,0.349697,11.738124,1.0,0.317942
10,4.439924,1.0,0.739987,23.076006,0.99712,0.531259,13.311602,0.976736,0.391437
11,3.47173,1.0,0.578622,14.338582,0.997508,0.340821,16.709172,1.0,0.453496
12,3.399781,1.0,0.56663,14.336124,0.997523,0.34051,16.455624,1.0,0.447925
13,3.999653,1.0,0.666609,23.79832,1.0,0.543146,12.411724,1.0,0.342844
14,3.885953,1.0,0.647659,17.60892,1.0,0.409243,11.902737,0.998776,0.333873
15,4.233628,1.0,0.705605,14.885631,1.0,0.349868,14.550971,0.980698,0.41894
