,deg,cc,ne,deg,cc,ne
0,24.087454,1.0,0.500511,18.707904,0.991196,0.488442
1,18.998192,1.0,0.390252,16.432453,1.0,0.422752
2,16.999717,1.0,0.347947,13.483358,1.0,0.349383
3,20.8803,0.986871,0.455046,16.296874,0.998032,0.432427
4,23.069259,1.0,0.47113,13.18743,0.997747,0.351755
5,15.644296,0.965043,0.377322,11.634938,0.94939,0.341716
6,26.983244,1.0,0.551132,22.287517,1.0,0.57194
7,14.809779,1.0,0.307928,12.18696,1.0,0.314752
8,33.784776,1.0,0.689485,23.147732,1.0,0.594082
9,18.114723,1.0,0.370703,12.284045,1.0,0.315697
10,27.033142,0.99775,0.556391,13.825478,0.978824,0.385698
11,16.758197,0.996795,0.356049,16.880505,1.0,0.438371
12,16.775802,0.996824,0.356251,16.663693,1.0,0.433798
13,26.950708,1.0,0.551825,13.092086,1.0,0.342863
14,20.079821,1.0,0.419385,12.734975,0.998904,0.337837
15,18.308237,1.0,0.383033,14.990623,0.982377,0.4091
