,Deg,Cc,Ne
Subject_003,33.256062,1.0,0.379116
Subject_013,42.675037,1.0,0.483965
Subject_014,36.209774,0.992349,0.427133
Subject_015,34.501391,0.987632,0.410775
Subject_020,30.323097,1.0,0.350473
Subject_024,32.763675,0.998283,0.384266
Subject_025,32.824702,0.961145,0.411758
Subject_033,32.056902,0.992084,0.382528
Subject_034,50.21952,1.0,0.565234
Subject_037,45.126192,0.999848,0.517162
Subject_038,29.384247,0.983771,0.363796
Subject_039,29.407247,0.997476,0.361568
Subject_040,29.464345,0.997656,0.36243
Subject_041,35.458947,1.0,0.403409
Subject_045,27.18947,0.980469,0.335868
Subject_056,39.130962,1.0,0.442449
