,deg,cc,ne,deg,cc,ne,deg,cc,ne
0,3.67099,1.0,0.611832,20.878253,1.0,0.474937,11.84882,1.0,0.32547
1,3.830938,1.0,0.63849,23.21291,1.0,0.53093,16.165164,1.0,0.442342
2,3.554482,1.0,0.592509,21.829175,0.99257,0.509394,13.753011,1.0,0.384266
3,2.68459,1.0,0.466863,16.277494,0.98274,0.398393,15.984116,0.993957,0.444676
4,3.329465,1.0,0.554911,16.28583,1.0,0.375532,12.262846,1.0,0.342085
5,3.29721,1.0,0.549535,18.34649,1.0,0.42456,14.844945,1.0,0.409695
6,4.806581,1.0,0.801097,17.113491,0.973171,0.42395,16.029991,0.989091,0.456345
7,2.304001,0.940959,0.415055,21.333032,0.999358,0.492456,11.177525,0.997651,0.322128
8,3.57397,1.0,0.595662,26.219055,1.0,0.595888,21.322922,1.0,0.577986
9,3.61411,1.0,0.604821,23.642292,1.0,0.544229,17.349356,1.0,0.481881
10,4.192951,1.0,0.698825,17.207243,0.996663,0.411056,11.31079,0.984377,0.335761
11,3.778769,1.0,0.629795,20.86976,1.0,0.48352,15.502807,1.0,0.424066
12,3.84147,1.0,0.640245,21.131864,1.0,0.488068,15.409815,1.0,0.423999
13,3.464942,1.0,0.57749,20.968649,1.0,0.478154,13.83355,1.0,0.378333
14,4.912838,1.0,0.818806,14.106167,0.976653,0.355444,11.56364,0.993171,0.329976
15,3.737471,1.0,0.622912,21.420092,1.0,0.488595,14.475059,1.0,0.39629
