,deg,cc,ne,deg,cc,ne
0,22.768056,1.0,0.465816,12.511384,1.0,0.325842
1,25.996563,1.0,0.533267,17.093995,1.0,0.443558
2,24.981593,0.993797,0.52219,14.35884,1.0,0.380554
3,18.720296,0.981804,0.410239,16.778355,0.9945,0.441882
4,18.757152,1.0,0.388728,12.714318,1.0,0.336598
5,20.740309,1.0,0.432077,15.212915,1.0,0.399939
6,20.511159,0.971421,0.452333,16.518895,0.989711,0.450129
7,23.172497,0.991914,0.48517,11.767265,0.997881,0.321257
8,29.058199,1.0,0.593024,22.239267,1.0,0.571886
9,26.748192,1.0,0.552338,18.393244,1.0,0.4839
10,20.807863,0.997422,0.441716,11.774128,0.985735,0.331345
11,21.013285,0.998591,0.45123,15.707719,1.0,0.40807
12,21.249165,0.999285,0.455277,15.600441,1.0,0.407608
13,23.978305,1.0,0.489931,14.356425,1.0,0.372699
14,16.514463,0.969478,0.374571,12.216109,0.993798,0.330201
15,24.675587,1.0,0.504967,15.231123,1.0,0.395229
