,Deg,Cc,Ne
Subject_001,72.84537,1.0,0.818487
Subject_002,73.36251,1.0,0.824298
Subject_006,75.574891,1.0,0.849156
Subject_007,72.617845,1.0,0.815931
Subject_008,72.90417,1.0,0.819148
Subject_012,74.372495,1.0,0.835646
Subject_016,75.006465,1.0,0.842769
Subject_028,73.732347,1.0,0.828453
Subject_032,74.498357,1.0,0.83706
Subject_044,75.763823,1.0,0.851279
Subject_047,74.658131,1.0,0.838855
Subject_048,73.935737,1.0,0.830739
Subject_051,74.31942,1.0,0.83505
Subject_052,79.071462,1.0,0.888443
Subject_054,74.03832,1.0,0.831891
