,deg,cc,ne,deg,cc,ne
0,35.194014,1.0,0.858391,38.410249,1.0,0.817239
1,35.109764,1.0,0.856336,38.625846,1.0,0.821827
2,36.43076,1.0,0.888555,39.734577,1.0,0.845417
3,35.906076,1.0,0.875758,38.662733,1.0,0.822611
4,34.413057,1.0,0.839343,38.792877,1.0,0.82538
5,36.771528,1.0,0.896867,38.527847,1.0,0.819741
6,37.295375,1.0,0.909643,38.770468,1.0,0.824904
7,35.748679,1.0,0.871919,38.682139,1.0,0.823024
8,35.93676,1.0,0.876506,39.040871,1.0,0.830657
9,36.775311,1.0,0.896959,39.656927,1.0,0.843764
10,35.8114,1.0,0.873449,38.608542,1.0,0.821458
11,35.11764,1.0,0.856528,38.820326,1.0,0.825964
12,36.201361,1.0,0.88296,39.193493,1.0,0.833904
13,37.620911,1.0,0.917583,41.380914,1.0,0.880445
14,36.39804,1.0,0.887757,38.751099,1.0,0.824491
