,deg,cc,ne,deg,cc,ne
0,41.337785,1.0,0.843628,31.973263,1.0,0.819827
1,41.583159,1.0,0.848636,32.343008,1.0,0.829308
2,43.120788,1.0,0.880016,33.396589,1.0,0.856323
3,42.16698,1.0,0.860551,32.713583,1.0,0.83881
4,40.698964,1.0,0.830591,32.228586,1.0,0.826374
5,42.753396,1.0,0.872518,32.43935,1.0,0.831778
6,43.414129,1.0,0.886003,32.464931,1.0,0.832434
7,41.954694,1.0,0.856218,32.478787,1.0,0.832789
8,42.405398,1.0,0.865416,32.533459,1.0,0.834191
9,43.392681,1.0,0.885565,33.219669,1.0,0.851786
10,42.050171,1.0,0.858167,32.240809,1.0,0.826687
11,41.494817,1.0,0.846833,32.225627,1.0,0.826298
12,42.805823,1.0,0.873588,32.79578,1.0,0.840917
13,44.57588,1.0,0.909712,34.349081,1.0,0.880746
14,43.349322,1.0,0.88468,32.511667,1.0,0.833632
