,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne
Subject_001,73.802942,73.851433,73.42774,73.270931,74.148197,72.370706,71.497954,72.438108,73.503341,69.750401,68.718784,71.144849,69.764657,72.598763,73.587819,74.001003,71.009243,72.252596,75.35749,73.707576,72.628838,72.72416,73.921441,73.224186,72.817493,74.352019,71.370886,72.529223,71.126086,72.301701,71.135772,67.401614,74.836039,70.178977,70.059777,72.922429,72.232834,72.63033,72.535731,72.538091,69.36991,72.585189,73.952732,74.862068,74.5083,74.569879,73.737226,73.274706,75.375945,75.008353,73.914627,73.157882,72.168872,73.409932,73.16656,73.216586,74.433561,73.045559,74.117979,73.678915,75.103777,74.524779,74.169833,72.880662,73.657025,73.535149,75.404029,74.796614,74.508795,73.002719,71.050761,69.490983,72.482249,72.394778,72.123525,72.859675,72.955363,74.302253,71.3833,70.90183,74.070691,73.557446,74.413815,70.179216,73.630134,73.907116,72.596104,70.067135,73.743086,73.163495,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.829247,0.829791,0.825031,0.823269,0.833126,0.813154,0.803348,0.813911,0.82588,0.783712,0.772121,0.79938,0.783873,0.815716,0.826829,0.831472,0.797857,0.811827,0.846713,0.828175,0.816054,0.817125,0.830578,0.822744,0.818174,0.835416,0.80192,0.814935,0.79917,0.812379,0.799278,0.757322,0.840854,0.788528,0.787189,0.819353,0.811605,0.816071,0.815008,0.815035,0.779437,0.815564,0.83093,0.841147,0.837172,0.837864,0.828508,0.823311,0.846921,0.84279,0.830501,0.821999,0.810886,0.824831,0.822096,0.822658,0.836332,0.820737,0.832786,0.827853,0.843863,0.837357,0.833369,0.818884,0.827607,0.826238,0.847236,0.840411,0.837177,0.820255,0.798323,0.780798,0.814407,0.813424,0.810377,0.818648,0.819723,0.834857,0.80206,0.79665,0.832255,0.826488,0.83611,0.788531,0.827305,0.830417,0.815687,0.787271,0.828574,0.822062
Subject_002,76.823354,73.682675,73.484526,73.910549,70.968898,70.6687,73.365313,75.09949,73.228273,72.300718,72.604713,75.899581,74.101665,74.600245,73.607392,75.057616,73.387323,74.741515,73.705866,74.54411,71.161202,73.915657,73.767066,73.895241,73.013308,74.977931,71.158378,70.988726,74.196641,74.523597,72.166791,72.967453,76.083802,76.534063,72.836881,74.2393,72.812235,74.127361,73.543357,74.509896,73.225989,72.404575,73.31108,72.407228,72.219636,73.397716,72.744797,73.438882,73.681455,73.787737,73.579961,75.276809,71.817958,72.613665,71.801449,73.237947,72.802373,73.682118,74.617697,76.461623,74.609061,76.060776,73.447692,74.943768,75.113836,74.810841,75.84136,75.50956,71.773884,72.512819,69.810984,70.705891,70.645157,71.998305,69.976895,71.804487,70.616131,72.144046,70.659938,72.469049,72.814741,73.961135,70.004147,73.294979,75.886851,75.775962,71.739278,71.503525,73.997501,74.481187,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.863184,0.827895,0.825669,0.830456,0.797403,0.79403,0.824329,0.843814,0.82279,0.812368,0.815783,0.852804,0.832603,0.838205,0.827049,0.843344,0.824577,0.839792,0.828156,0.837574,0.799564,0.830513,0.828843,0.830284,0.820374,0.842449,0.799532,0.797626,0.83367,0.837344,0.810863,0.819859,0.854874,0.859933,0.818392,0.834149,0.818115,0.832892,0.82633,0.83719,0.822764,0.813535,0.82372,0.813564,0.811457,0.824693,0.817357,0.825156,0.827882,0.829076,0.826741,0.845807,0.806943,0.815884,0.806758,0.822898,0.818004,0.827889,0.838401,0.859119,0.838304,0.854615,0.825255,0.842065,0.843976,0.840571,0.85215,0.848422,0.806448,0.814751,0.784393,0.794448,0.793766,0.80897,0.786257,0.806792,0.79344,0.810607,0.793932,0.814259,0.818143,0.831024,0.786563,0.823539,0.852661,0.851415,0.806059,0.80341,0.831433,0.836867
Subject_006,79.38468,79.288705,76.144319,78.266337,74.494339,74.369657,76.688562,76.834917,74.889516,73.253742,75.558114,77.534191,75.375105,78.733566,75.787088,77.235403,74.298004,73.886483,78.027784,78.349232,77.640092,76.5765,76.264506,75.09246,70.918411,74.808375,75.903492,76.81257,73.158925,76.6154,75.141281,71.09573,77.985876,78.530137,72.833941,75.989957,77.252253,77.426686,73.455986,72.942718,73.250127,75.188518,78.442425,76.512032,76.55164,77.394232,76.975766,74.194982,74.307824,74.213653,75.865245,75.042744,75.356672,73.822238,76.741021,75.7862,77.631173,78.352773,75.31699,77.328548,75.622815,78.167938,73.473574,75.331888,74.443077,76.320319,77.566955,78.604086,77.554869,76.282074,73.993636,75.257304,75.978021,74.925579,73.156913,74.353208,76.434443,76.825858,69.001536,68.745781,73.689991,74.440528,75.315541,76.568147,76.800617,78.244249,69.204768,73.904114,73.79334,74.619186,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.891963,0.890884,0.855554,0.879397,0.837015,0.835614,0.861669,0.863314,0.841455,0.823076,0.848968,0.871171,0.846911,0.884647,0.85154,0.867814,0.834809,0.830185,0.876717,0.880328,0.872361,0.86041,0.856905,0.843736,0.796836,0.840544,0.852848,0.863063,0.82201,0.860847,0.844284,0.798828,0.876246,0.882361,0.818359,0.85382,0.868003,0.869963,0.825348,0.819581,0.823035,0.844815,0.881376,0.859686,0.860131,0.869598,0.864896,0.833651,0.834919,0.833861,0.852418,0.843177,0.846704,0.829463,0.862259,0.85153,0.87226,0.880368,0.846258,0.86886,0.849695,0.878291,0.825546,0.846426,0.836439,0.857532,0.871539,0.883192,0.871403,0.857102,0.831389,0.845588,0.853686,0.84186,0.821988,0.835429,0.858814,0.863212,0.775298,0.772425,0.827977,0.83641,0.846242,0.860316,0.862928,0.879149,0.777582,0.830383,0.829139,0.838418
Subject_007,71.261206,73.674829,72.257833,72.351019,72.299046,71.006975,69.478145,70.156663,69.411845,71.204123,71.22926,71.407853,70.072156,70.091058,70.632835,70.937062,70.57947,73.413064,74.203104,75.835206,70.084717,69.171361,72.561206,72.627905,71.415299,71.750151,72.442897,73.035627,72.427987,72.200795,68.181559,71.20119,70.604448,73.290761,73.303045,75.231717,70.195405,71.279306,71.41581,71.640943,71.413545,69.896911,75.105474,76.279318,74.538827,75.261738,72.887174,73.852374,74.265833,73.410099,74.665929,73.070123,74.116504,75.5512,73.089294,73.341343,73.255114,74.999783,74.886247,73.54381,75.056652,74.530375,72.881108,76.741272,76.002652,72.909428,76.398766,74.052521,72.380669,74.009702,72.064198,71.995753,71.547291,72.471128,71.818507,70.978074,71.824078,71.919996,71.197634,70.198728,73.132316,73.897769,71.401443,74.068437,73.852068,74.349776,72.583957,73.143153,73.455814,71.74725,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.800688,0.827807,0.811886,0.812933,0.812349,0.797831,0.780653,0.788277,0.779908,0.800046,0.800329,0.802335,0.787328,0.78754,0.793627,0.797046,0.793028,0.824866,0.833743,0.852081,0.787469,0.777206,0.815294,0.816044,0.802419,0.806181,0.813965,0.820625,0.813798,0.811245,0.766085,0.800013,0.793308,0.823492,0.82363,0.8453,0.788712,0.800891,0.802425,0.804954,0.802399,0.785359,0.843882,0.857071,0.837515,0.845638,0.818957,0.829802,0.834448,0.824833,0.838943,0.821013,0.83277,0.84889,0.821228,0.82406,0.823091,0.842694,0.841419,0.826335,0.843333,0.83742,0.818889,0.862261,0.853962,0.819207,0.858413,0.832051,0.813266,0.83157,0.80971,0.808941,0.803902,0.814282,0.80695,0.797506,0.807012,0.80809,0.799973,0.78875,0.821711,0.830312,0.802263,0.83223,0.829799,0.835391,0.81555,0.821833,0.825346,0.806149
Subject_008,74.396138,73.482409,75.1486,73.255075,72.174114,73.579251,73.140525,73.774897,73.730391,73.313969,74.199857,72.049122,72.64066,72.696414,73.891456,73.911585,72.674607,72.988834,74.062342,74.600911,72.88587,72.191443,73.529308,72.008564,72.014666,71.778381,73.132562,71.736218,73.441657,72.717396,72.962292,73.217997,75.19595,72.427548,71.585491,70.73379,74.474658,73.85096,72.687228,72.251233,73.402668,72.233058,73.533801,74.391751,72.796748,72.603308,74.49843,74.597232,73.464741,73.072082,74.284786,73.057161,73.199601,72.366296,72.109354,72.097174,73.546115,72.823312,72.375724,71.82739,70.422903,72.530299,72.593791,74.103488,73.74231,72.379314,72.615977,71.393003,72.704189,73.537831,73.978031,73.039038,74.252832,74.085411,73.15379,72.608333,73.086385,72.790164,70.294602,72.531534,70.696082,73.624913,71.520285,69.729735,72.035082,74.058159,70.498237,72.777033,71.421978,72.355481,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.835912,0.825645,0.844366,0.823091,0.810945,0.826733,0.821804,0.828931,0.828431,0.823752,0.833706,0.809541,0.816187,0.816814,0.830241,0.830467,0.816569,0.820099,0.832161,0.838212,0.818942,0.81114,0.826172,0.809085,0.809154,0.806499,0.821714,0.806025,0.825187,0.817049,0.819801,0.822674,0.844898,0.813793,0.804331,0.794762,0.836794,0.829786,0.81671,0.811812,0.824749,0.811607,0.826222,0.835862,0.817941,0.815768,0.837061,0.838171,0.825447,0.821035,0.834661,0.820867,0.822467,0.813104,0.810217,0.810081,0.826361,0.818239,0.81321,0.807049,0.791269,0.814947,0.815661,0.832623,0.828565,0.813251,0.81591,0.802169,0.816901,0.826268,0.831214,0.820663,0.834301,0.83242,0.821953,0.815824,0.821195,0.817867,0.789827,0.814961,0.794338,0.827246,0.803599,0.78348,0.809383,0.832114,0.792115,0.817719,0.802494,0.812983
Subject_012,76.384257,76.092252,74.754496,75.173159,73.096364,72.098292,72.985825,73.215189,74.870947,73.112059,70.993172,70.173912,70.192789,70.911031,74.943428,75.191864,70.562748,73.200773,77.088977,78.554224,73.484757,72.988665,73.430997,73.814025,73.902494,73.537543,73.076793,72.865675,70.597772,72.690583,69.396026,69.115921,75.516649,75.818673,73.033567,74.461976,74.172255,73.855837,73.421538,75.682189,74.321042,74.898734,77.746693,77.473708,78.579344,78.238875,75.130626,75.312859,76.644667,77.292356,77.007566,77.608956,73.555327,75.425957,73.47084,75.314471,75.541854,77.508801,76.876348,76.722931,76.393548,76.902173,71.610257,73.652749,75.793861,75.65471,77.391043,78.528299,77.600035,77.934533,73.778545,74.97316,72.515847,75.076378,72.568126,73.447574,74.868887,75.761161,70.441735,71.169167,72.547828,75.584628,69.897546,73.476898,75.040704,76.024075,69.895965,73.582065,72.836083,75.445303,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.85825,0.854969,0.839938,0.844642,0.821307,0.810093,0.820065,0.822643,0.841247,0.821484,0.797676,0.788471,0.788683,0.796753,0.842061,0.844852,0.79284,0.822481,0.866168,0.882632,0.825671,0.820097,0.825067,0.829371,0.830365,0.826265,0.821088,0.818715,0.793233,0.816748,0.779731,0.776583,0.848502,0.851895,0.820602,0.836651,0.833396,0.829841,0.824961,0.850362,0.835068,0.841559,0.873558,0.870491,0.882914,0.879088,0.844164,0.846212,0.861176,0.868453,0.865254,0.872011,0.826464,0.847483,0.825515,0.84623,0.848785,0.870885,0.863779,0.862055,0.858354,0.864069,0.80461,0.827559,0.851616,0.850053,0.869562,0.88234,0.871911,0.875669,0.828972,0.842395,0.814785,0.843555,0.815372,0.825254,0.841223,0.851249,0.79148,0.799654,0.815144,0.849265,0.785366,0.825583,0.843154,0.854203,0.785348,0.826765,0.818383,0.8477
Subject_016,77.409305,76.62329,76.008426,76.353189,71.103795,71.059761,77.304244,76.376962,67.250511,69.730441,75.168177,75.727037,73.270559,73.435228,74.233962,73.601553,75.240179,73.150432,78.595015,77.415709,73.441581,70.706022,75.080852,74.310439,73.33822,71.977045,74.269504,72.787358,73.715956,72.059294,68.411322,67.91405,77.205665,78.056255,76.762553,78.017693,75.119112,75.636531,74.888802,72.320007,73.737158,74.316046,76.531502,77.428392,78.041111,77.954122,77.293066,76.330972,77.05886,78.131149,78.030406,76.516242,74.963855,77.478137,74.512097,74.719949,77.802064,76.377688,76.269982,78.579445,76.912564,78.51445,78.926492,74.956508,77.522035,77.434165,78.409854,78.814518,77.119896,76.597228,72.297961,72.528969,73.864012,73.523122,72.503125,72.500832,72.220679,73.11101,73.237449,72.924691,77.200847,76.963715,69.377281,73.508656,77.180427,77.116132,72.920012,73.217624,76.586765,75.44254,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.869767,0.860936,0.854027,0.857901,0.798919,0.798424,0.868587,0.858168,0.755624,0.783488,0.844586,0.850866,0.823265,0.825115,0.834089,0.826984,0.845395,0.821915,0.88309,0.869839,0.825186,0.79445,0.843605,0.834949,0.824025,0.808731,0.834489,0.817835,0.828269,0.809655,0.768667,0.763079,0.867479,0.877037,0.862501,0.876603,0.844035,0.849849,0.841447,0.812584,0.828507,0.835012,0.859905,0.869982,0.876866,0.875889,0.868461,0.857651,0.86583,0.877878,0.876746,0.859733,0.842291,0.870541,0.837215,0.83955,0.87418,0.858176,0.856966,0.882915,0.864186,0.882185,0.886815,0.842208,0.871034,0.870047,0.88101,0.885556,0.866516,0.860643,0.812337,0.814932,0.829933,0.826102,0.814642,0.814616,0.811468,0.821472,0.822893,0.819379,0.867425,0.864761,0.77952,0.82594,0.867196,0.866473,0.819326,0.82267,0.860525,0.847669
Subject_028,76.51072,76.412841,71.234022,74.413155,74.120104,73.915513,70.093253,73.630254,74.564667,74.171457,74.735619,71.498689,71.875359,71.13264,74.143235,74.704811,73.68305,73.274701,77.67378,76.473841,70.28861,72.475877,70.573518,70.328582,74.759198,72.115133,74.188946,72.883029,73.848822,73.764298,70.019757,69.747898,73.446526,73.967887,73.137737,73.510037,72.755441,74.521846,74.493642,74.330661,72.783328,72.224237,75.292996,74.552981,73.620494,74.38454,75.595377,73.723129,74.797085,74.90489,74.75399,74.099939,75.260691,73.058981,75.094777,74.896851,74.797143,76.065592,75.200854,74.906518,73.776534,75.749914,74.086789,75.024943,74.263527,76.326156,76.441178,76.324974,74.92536,74.861127,73.635138,71.265039,73.245333,72.957111,72.428083,71.104514,73.526314,74.412406,71.949517,70.246702,73.512239,74.863485,71.079425,74.110203,76.057784,75.609415,71.356322,70.022138,74.213257,75.102732,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.859671,0.858571,0.800382,0.836103,0.83281,0.830511,0.787565,0.827306,0.837805,0.833387,0.839726,0.803356,0.807588,0.799243,0.83307,0.83938,0.827899,0.823311,0.872739,0.859257,0.78976,0.814336,0.792961,0.790209,0.839991,0.810282,0.833584,0.81891,0.829762,0.828812,0.786739,0.783684,0.825242,0.8311,0.821772,0.825955,0.817477,0.837324,0.837007,0.835176,0.81779,0.811508,0.845989,0.837674,0.827197,0.835781,0.849386,0.82835,0.840417,0.841628,0.839932,0.832584,0.845626,0.820887,0.843762,0.841538,0.840417,0.85467,0.844953,0.841646,0.82895,0.851123,0.832436,0.842977,0.834422,0.857597,0.85889,0.857584,0.841858,0.841136,0.827361,0.800731,0.822981,0.819743,0.813799,0.798927,0.826138,0.836094,0.808422,0.789289,0.82598,0.841163,0.798645,0.832699,0.854582,0.849544,0.801756,0.786766,0.833857,0.843851
Subject_032,76.75737,76.250265,75.391881,75.896586,74.028452,72.22221,76.925032,76.567895,74.569495,73.540185,72.944968,74.991976,74.521855,73.985149,75.490241,75.294676,73.090318,75.760276,77.459905,76.419188,72.897883,73.446434,75.344914,73.65437,75.261213,74.36979,72.322783,72.555284,73.191263,76.38962,73.544002,73.353504,75.637366,74.741493,74.289475,72.336091,75.036933,76.437883,75.532745,76.222072,74.996434,72.91029,73.920642,72.355513,73.499363,72.712562,75.763083,74.902822,75.293132,74.822083,75.624617,74.83308,75.837533,73.59944,76.860951,75.470623,75.377476,72.313842,76.314224,78.291498,75.175494,75.456634,75.798247,74.679027,76.820519,76.153479,77.99319,76.406649,74.3033,73.254981,70.461531,72.809825,70.878525,72.353176,70.486128,73.419219,72.736467,72.416049,71.249837,71.493291,73.673849,76.064313,73.637372,74.866868,76.234383,76.75854,72.798186,70.579783,75.800554,75.720463,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.862442,0.856745,0.8471,0.852771,0.83178,0.811486,0.864326,0.860313,0.837859,0.826294,0.819606,0.842606,0.837324,0.831294,0.848205,0.846008,0.82124,0.851239,0.870336,0.858643,0.819077,0.825241,0.846572,0.827577,0.845632,0.835616,0.812616,0.815228,0.822374,0.85831,0.826337,0.824197,0.849858,0.839792,0.834713,0.812765,0.843112,0.858853,0.848683,0.856428,0.842657,0.819217,0.830569,0.812983,0.825836,0.816995,0.851271,0.841605,0.84599,0.840698,0.849715,0.840821,0.852107,0.82696,0.863606,0.847985,0.846938,0.812515,0.857463,0.87968,0.844668,0.847827,0.851666,0.83909,0.863152,0.855657,0.876328,0.858502,0.834869,0.82309,0.791703,0.818088,0.796388,0.812957,0.791979,0.824935,0.817264,0.813663,0.80056,0.803295,0.827796,0.854655,0.827386,0.841201,0.856566,0.862456,0.817957,0.793031,0.851692,0.850792
Subject_044,78.586384,76.637037,76.724533,75.029233,72.680116,73.801724,76.140328,75.591161,69.030612,73.887962,74.805069,75.611348,74.498823,72.234545,76.613464,75.716996,77.412246,75.284415,76.607683,76.177786,74.848857,74.430921,75.154084,73.673301,75.790971,72.116959,74.543788,76.401023,78.588672,74.282632,74.449608,74.325515,78.889104,77.643961,76.330735,74.989765,74.231534,75.760803,76.082384,75.272321,76.518396,73.162168,78.316021,77.638205,78.190561,78.529082,78.136669,77.647365,77.189974,77.884249,77.810628,77.073489,77.362994,75.846189,74.46398,77.038983,78.578521,75.708481,77.312976,75.523092,76.722463,76.901687,76.26688,77.468349,76.812336,73.688998,78.989547,77.968077,78.039872,75.652691,72.570169,73.18989,77.020547,74.666841,72.831843,74.38692,75.990984,76.765058,75.527596,72.942488,76.502838,77.566267,73.538128,75.24855,76.945131,78.120674,73.024873,72.694716,75.549999,74.339269,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.882993,0.86109,0.862073,0.843025,0.816631,0.829233,0.855509,0.849339,0.775625,0.830202,0.840506,0.849566,0.837065,0.811624,0.860825,0.850753,0.869801,0.845892,0.86076,0.85593,0.840998,0.836302,0.844428,0.82779,0.851584,0.810303,0.837571,0.858438,0.883019,0.834636,0.836512,0.835118,0.886394,0.872404,0.857649,0.842582,0.834062,0.851245,0.854858,0.845756,0.859757,0.822047,0.879955,0.872339,0.878546,0.882349,0.87794,0.872442,0.867303,0.875104,0.874277,0.865994,0.869247,0.852204,0.836674,0.865607,0.882905,0.850657,0.868685,0.848574,0.86205,0.864064,0.856931,0.870431,0.86306,0.827966,0.887523,0.876046,0.876852,0.85003,0.815395,0.822358,0.865399,0.838953,0.818335,0.835808,0.853831,0.862529,0.848625,0.819579,0.859582,0.871531,0.826271,0.845489,0.864552,0.87776,0.820504,0.816795,0.848876,0.835273
