,Deg,Cc,Ne
Subject_001,75.504228,1.0,0.848362
Subject_002,74.877678,1.0,0.841322
Subject_006,74.922841,1.0,0.84183
Subject_007,74.334222,1.0,0.835216
Subject_008,75.453258,1.0,0.847789
Subject_012,75.569291,1.0,0.849093
Subject_016,74.800715,1.0,0.840457
Subject_028,73.588562,1.0,0.826838
Subject_032,76.324599,1.0,0.85758
Subject_044,74.331791,1.0,0.835189
Subject_047,73.825056,1.0,0.829495
Subject_048,73.462911,1.0,0.825426
Subject_051,75.516204,1.0,0.848497
Subject_052,77.958162,1.0,0.875934
Subject_054,73.153765,1.0,0.821952
