,deg,cc,ne,deg,cc,ne
0,36.824077,1.0,0.898148,39.203998,1.0,0.834128
1,36.667037,1.0,0.894318,39.218549,1.0,0.834437
2,36.486138,1.0,0.889906,39.395053,1.0,0.838193
3,35.862668,1.0,0.874699,39.078525,1.0,0.831458
4,36.401042,1.0,0.88783,40.243681,1.0,0.856249
5,37.003635,1.0,0.902528,39.182948,1.0,0.83368
6,36.164883,1.0,0.88207,39.076595,1.0,0.831417
7,35.605301,1.0,0.868422,38.559421,1.0,0.820413
8,37.516968,1.0,0.915048,39.457157,1.0,0.839514
9,35.546926,1.0,0.866998,39.551105,1.0,0.841513
10,35.115562,1.0,0.856477,38.799392,1.0,0.825519
11,35.312248,1.0,0.861274,39.099962,1.0,0.831914
12,36.67061,1.0,0.894405,39.347866,1.0,0.837189
13,37.059469,1.0,0.903889,40.894584,1.0,0.870098
14,36.394849,1.0,0.887679,38.788165,1.0,0.82528
