,deg,cc,ne,deg,cc,ne
0,43.12355,1.0,0.880072,32.728222,1.0,0.839185
1,42.937822,1.0,0.876282,33.019686,1.0,0.846659
2,42.966569,1.0,0.876869,33.149183,1.0,0.849979
3,42.468697,1.0,0.866708,32.841379,1.0,0.842087
4,42.642017,1.0,0.870245,33.572551,1.0,0.860835
5,43.410025,1.0,0.885919,32.654948,1.0,0.837306
6,42.730278,1.0,0.872046,32.504727,1.0,0.833455
7,41.734111,1.0,0.851717,32.509429,1.0,0.833575
8,44.097743,1.0,0.899954,32.950056,1.0,0.844873
9,41.787871,1.0,0.852814,33.327762,1.0,0.854558
10,41.432223,1.0,0.845556,32.340418,1.0,0.829241
11,41.497208,1.0,0.846882,32.572597,1.0,0.835195
12,43.061962,1.0,0.878816,32.828294,1.0,0.841751
13,43.885756,1.0,0.895628,34.017604,1.0,0.872246
14,43.294758,1.0,0.883566,32.851101,1.0,0.842336
