,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Deg,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Cc,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne
Subject_001,79.719831,79.576928,75.349293,75.861286,74.368452,72.907844,77.432225,74.644125,73.958672,75.282044,76.558182,78.490086,75.063984,72.992017,77.06587,77.421732,77.343947,77.108746,77.982357,79.146062,73.403163,73.112256,73.084305,72.671923,75.0826,73.876922,73.95943,72.96691,75.784182,76.732524,72.753733,74.081571,77.607997,78.217765,75.05965,74.155921,73.597863,77.188215,75.957272,75.205017,70.489841,72.966283,75.958217,76.637355,76.354572,75.355779,76.391414,74.282529,75.126348,75.517453,77.061432,76.785613,75.154362,72.621261,74.17165,74.475933,77.912456,77.057226,77.766144,76.165811,78.101642,78.964759,77.271525,78.858592,77.996908,80.016518,80.609898,80.530775,76.447001,76.286827,71.614735,72.034068,74.816492,74.154313,72.177921,72.484065,73.315186,72.957135,72.085952,74.282715,76.105048,75.937687,71.263767,74.621034,77.704245,78.752624,70.115598,72.810248,75.125728,76.912962,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.895728,0.894123,0.846621,0.852374,0.835601,0.819189,0.870025,0.838698,0.830996,0.845866,0.860204,0.881911,0.843416,0.820135,0.865909,0.869907,0.869033,0.86639,0.876206,0.889282,0.824755,0.821486,0.821172,0.816538,0.843625,0.830078,0.831005,0.819853,0.851508,0.862163,0.817458,0.832377,0.872,0.878851,0.843367,0.833213,0.826942,0.867283,0.853452,0.845,0.792021,0.819846,0.853463,0.861094,0.857917,0.846694,0.85833,0.834635,0.844116,0.848511,0.865859,0.86276,0.844431,0.815969,0.833389,0.836808,0.875421,0.865812,0.873777,0.855796,0.877547,0.887244,0.868219,0.886052,0.87637,0.899062,0.905729,0.90484,0.858955,0.857155,0.80466,0.809372,0.840635,0.833195,0.810988,0.814428,0.823766,0.819743,0.809955,0.834637,0.855113,0.853232,0.800716,0.838439,0.873081,0.884861,0.787816,0.818093,0.844109,0.864191
Subject_002,77.555871,76.109792,76.461536,76.465864,71.572819,73.487207,75.8048,75.053606,73.700156,75.110587,74.993576,76.44562,75.344066,75.789291,74.715674,75.506732,72.662893,75.480648,76.905153,76.850026,71.058197,73.296632,73.849205,75.994046,73.215804,73.965478,70.458481,71.638974,74.783314,76.261632,71.571436,71.145636,76.431253,76.895262,75.561669,75.7845,73.148423,73.527447,74.91728,74.432279,76.604634,70.94773,75.898227,75.756919,76.741295,79.598908,73.852629,74.045121,76.934607,77.918436,78.215892,77.154542,74.115626,75.830734,73.098522,75.03141,75.913786,73.688742,78.075337,77.563018,78.638508,78.540242,76.597985,78.334428,74.866812,76.032617,76.33866,77.514959,74.223394,75.646277,72.833287,73.621056,73.898232,74.85523,72.493731,72.079172,74.244988,74.77295,69.671553,74.814154,74.311584,72.875692,71.743749,71.980541,75.192541,78.382538,72.681749,74.442199,73.350581,73.072614,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.871414,0.855166,0.859118,0.859167,0.804189,0.825699,0.851739,0.843299,0.828092,0.843939,0.842624,0.85894,0.846563,0.851565,0.839502,0.84839,0.816437,0.848097,0.864103,0.863483,0.798407,0.823558,0.829766,0.853866,0.822649,0.831073,0.791668,0.804932,0.840262,0.856872,0.804173,0.799389,0.858778,0.863992,0.849008,0.851511,0.821892,0.826151,0.841767,0.836318,0.860726,0.797166,0.852789,0.851201,0.862262,0.89437,0.829805,0.831968,0.864434,0.875488,0.87883,0.866905,0.83276,0.852031,0.821332,0.84305,0.852964,0.827963,0.877251,0.871495,0.883579,0.882475,0.860652,0.880162,0.8412,0.854299,0.857738,0.870955,0.833971,0.849958,0.818352,0.827203,0.830317,0.84107,0.814536,0.809878,0.834213,0.840146,0.782826,0.840608,0.834962,0.818828,0.80611,0.80877,0.84486,0.880703,0.816649,0.836429,0.824164,0.821041
Subject_006,77.577741,77.937011,75.811607,76.500058,73.282138,73.721247,74.152537,74.502764,68.671586,74.483368,74.016213,76.485801,69.731231,74.637172,71.360914,75.029927,75.668661,76.137455,76.883134,77.700689,75.532603,74.840386,74.116337,74.104196,70.660564,72.408223,73.869034,76.685256,73.877638,75.81761,71.419452,71.959431,77.131712,77.533472,75.532596,75.129893,75.902245,76.124522,76.015005,73.711994,74.041602,74.778526,75.56705,76.381951,76.837428,78.406529,73.989819,73.595599,77.053976,76.735362,76.061448,76.667694,74.130419,73.771785,74.985669,73.077054,76.68999,77.462151,76.380754,76.12168,75.315891,77.163888,73.347257,76.120537,75.543855,74.538465,77.570796,78.215268,76.706817,75.435731,73.35824,72.698887,75.310662,75.650272,74.50316,73.869572,75.582139,75.657339,67.46096,67.777805,75.408867,74.532808,76.008636,77.601462,76.666456,77.665087,71.260145,74.079732,72.792745,75.812303,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.87166,0.875697,0.851816,0.859551,0.823395,0.828329,0.833175,0.83711,0.771591,0.836892,0.831643,0.859391,0.783497,0.83862,0.801808,0.843033,0.85021,0.855477,0.863855,0.873041,0.848681,0.840903,0.832768,0.832631,0.793939,0.813576,0.829989,0.861632,0.830086,0.851883,0.802466,0.808533,0.866648,0.871163,0.848681,0.844156,0.852834,0.855332,0.854101,0.828225,0.831928,0.840208,0.849068,0.858224,0.863342,0.880972,0.831346,0.826917,0.865775,0.862195,0.854623,0.861435,0.832926,0.828896,0.842536,0.82109,0.861685,0.870361,0.858211,0.8553,0.846246,0.86701,0.824126,0.855287,0.848807,0.837511,0.871582,0.878823,0.861874,0.847592,0.82425,0.816841,0.846187,0.850003,0.837114,0.829995,0.849238,0.850082,0.757988,0.761548,0.847291,0.837447,0.85403,0.871927,0.861421,0.872641,0.800676,0.832357,0.817896,0.851824
Subject_007,76.697304,76.372771,76.018261,76.551109,71.879808,74.525277,75.13048,76.231251,74.882488,74.36018,72.259688,72.483057,74.588062,72.810411,75.050018,75.347364,73.415906,73.638044,75.879036,76.89045,74.95028,75.251438,75.448466,75.687088,73.824019,74.980665,71.52404,70.560586,75.002333,76.140339,74.861952,73.483854,76.977028,76.232646,73.632976,73.633581,74.251652,75.15655,75.193031,75.60156,74.2794,74.127209,73.853162,73.06392,73.442907,73.539991,73.882306,76.013858,73.044155,71.782264,72.787405,69.569091,74.778026,74.887927,73.819918,74.519256,76.268103,77.037751,77.071083,77.531372,77.041314,78.103908,72.660203,77.025622,73.578517,74.983019,75.93044,77.16828,75.293043,74.674691,73.287372,71.914268,73.633795,74.384424,71.237478,74.089115,72.67869,74.351182,71.336553,70.348222,75.631097,76.526016,70.577108,75.297766,75.581642,76.929755,65.137246,69.099657,74.293246,74.582147,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.861767,0.858121,0.854138,0.860125,0.807638,0.837363,0.844163,0.856531,0.841376,0.835508,0.811907,0.814416,0.838068,0.818095,0.843259,0.8466,0.824898,0.827394,0.852573,0.863938,0.842138,0.845522,0.847736,0.850417,0.829483,0.842479,0.803641,0.792816,0.842723,0.855509,0.841146,0.825661,0.86491,0.856547,0.827337,0.827344,0.834288,0.844456,0.844866,0.849456,0.8346,0.83289,0.829811,0.820943,0.825201,0.826292,0.830138,0.854088,0.820721,0.806542,0.817836,0.781675,0.840203,0.841437,0.829437,0.837295,0.856945,0.865593,0.865967,0.871139,0.865633,0.877572,0.816407,0.865456,0.826725,0.842506,0.853151,0.867059,0.845989,0.839041,0.823454,0.808025,0.827346,0.83578,0.800421,0.832462,0.816614,0.835407,0.801534,0.790429,0.849788,0.859843,0.793001,0.846042,0.849232,0.864379,0.731879,0.776401,0.834756,0.838002
Subject_008,76.356843,76.818843,77.489827,74.739082,74.078924,74.116676,73.990654,72.068921,73.923373,71.215831,74.620546,76.427029,73.896095,75.679311,74.252631,73.242321,75.421043,76.212313,75.359,75.519442,76.095752,74.678351,74.062523,74.499104,75.48411,73.852187,72.717895,74.00835,77.751003,76.628964,71.643592,72.508299,75.250869,75.106988,74.341055,74.761332,77.271738,77.651501,72.156512,73.323255,73.27546,73.743488,77.463291,76.645633,75.330208,74.661157,78.707227,77.530577,75.582192,77.641567,77.036969,76.60681,73.147786,74.446299,74.159984,73.599847,76.660077,78.574761,76.551748,76.907248,78.282189,77.391913,79.828126,78.143004,78.146846,77.951905,77.361068,76.316978,76.966705,75.375831,74.492391,73.66334,75.035794,75.767679,76.964334,75.92325,77.029778,76.728636,74.010538,73.057499,76.689164,77.38003,73.843281,73.551647,78.017143,77.3118,73.916136,72.863517,75.004706,76.283583,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.857942,0.863133,0.870672,0.839765,0.832347,0.832772,0.831356,0.809763,0.8306,0.800178,0.838433,0.858731,0.830293,0.850329,0.834299,0.822947,0.847427,0.856318,0.84673,0.848533,0.855008,0.839083,0.832163,0.837069,0.848136,0.8298,0.817055,0.831554,0.873607,0.861,0.804984,0.8147,0.845515,0.843899,0.835293,0.840015,0.868222,0.872489,0.810747,0.823857,0.82332,0.828579,0.870374,0.861187,0.846407,0.838889,0.884351,0.87113,0.849238,0.872377,0.865584,0.860751,0.821885,0.836475,0.833258,0.826965,0.861349,0.882862,0.860132,0.864126,0.879575,0.869572,0.896945,0.878011,0.878054,0.875864,0.869225,0.857494,0.864794,0.846919,0.836993,0.827678,0.843099,0.851322,0.864768,0.85307,0.865503,0.86212,0.831579,0.820871,0.861676,0.869439,0.8297,0.826423,0.876597,0.868672,0.830518,0.818691,0.84275,0.857119
Subject_012,78.366619,78.816377,78.042252,77.708864,74.235561,73.723488,77.015087,78.428195,73.761363,73.475185,74.786053,76.651663,71.466431,74.265683,75.665159,75.898216,73.785589,74.930858,79.105708,78.701895,74.413705,73.74304,76.418759,75.124656,74.33859,74.576672,74.689177,73.699497,75.213119,75.198518,74.525284,72.919015,79.650512,80.030139,78.441088,78.551881,75.772135,75.152732,74.8131,75.430576,75.849934,75.457357,75.237922,74.16589,77.261345,78.191533,73.714083,74.489792,76.554324,78.741656,75.92988,77.196689,76.978469,76.142917,74.885952,74.278423,77.76857,77.464518,77.808911,79.597529,77.859393,77.76202,75.862052,77.075988,75.84504,77.223892,78.872947,79.064359,75.220549,76.810689,72.147381,75.17853,72.005896,73.120911,72.106051,72.93728,73.649166,71.221164,71.837457,69.144289,74.382695,75.197258,72.566051,75.737665,75.314827,75.192066,71.93905,72.854385,76.437419,77.421589,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.880524,0.885577,0.876879,0.873133,0.834107,0.828354,0.865338,0.881216,0.828779,0.825564,0.840293,0.861255,0.802994,0.834446,0.85017,0.852789,0.829052,0.84192,0.888828,0.884291,0.836109,0.828573,0.858638,0.844097,0.835265,0.83794,0.839204,0.828084,0.845091,0.844927,0.837363,0.819315,0.89495,0.899215,0.881361,0.882605,0.851372,0.844413,0.840597,0.847535,0.852246,0.847835,0.84537,0.833325,0.868105,0.878557,0.828248,0.836964,0.860161,0.884738,0.853145,0.867379,0.864927,0.855538,0.841415,0.834589,0.873804,0.870388,0.874257,0.894354,0.874825,0.873731,0.852383,0.866022,0.852191,0.867684,0.886213,0.888364,0.845175,0.863041,0.810645,0.844703,0.809055,0.821583,0.81018,0.81952,0.827519,0.800238,0.807162,0.776902,0.835761,0.844913,0.815349,0.850985,0.846234,0.844855,0.808304,0.818589,0.858847,0.869905
Subject_016,76.881813,76.560028,76.778895,75.400841,73.240957,72.49583,77.705621,77.173758,73.484376,74.030829,72.995366,75.336063,72.954986,75.010622,74.160591,72.739287,75.073206,73.251682,77.497743,76.314209,74.136863,69.668571,75.99474,73.505339,73.177863,75.813875,73.642893,73.615227,74.819256,74.493818,74.189362,74.810447,78.365905,77.494047,77.412232,74.266241,75.125931,74.359995,75.167211,73.207503,72.268721,71.68194,74.687766,73.5695,76.649771,75.754504,73.749282,74.738392,75.669444,74.997521,74.209995,74.880979,73.250278,75.459688,74.540421,75.007406,76.619703,76.607956,76.219658,76.867186,76.386803,75.896481,76.292617,75.417063,77.947315,77.749816,77.345328,77.919051,77.115575,73.986199,72.401557,72.198936,73.208757,73.83676,72.452323,71.730357,74.979215,76.247334,73.328292,74.651607,76.964511,76.778318,70.298419,72.658704,75.977892,75.054797,70.205873,72.439324,74.818084,75.992888,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.863841,0.860225,0.862684,0.8472,0.822932,0.81456,0.873097,0.867121,0.825667,0.831807,0.820173,0.846473,0.819719,0.842816,0.833265,0.817295,0.843519,0.823053,0.870761,0.857463,0.832998,0.782793,0.853873,0.825903,0.822223,0.851841,0.827448,0.827137,0.840666,0.837009,0.833588,0.840567,0.880516,0.87072,0.8698,0.834452,0.844112,0.835506,0.844575,0.822556,0.812008,0.805415,0.839188,0.826624,0.861233,0.851174,0.828644,0.839757,0.850218,0.842669,0.83382,0.841359,0.823037,0.847862,0.837533,0.84278,0.860896,0.860764,0.856401,0.863676,0.858279,0.852769,0.85722,0.847383,0.875813,0.873593,0.869049,0.875495,0.866467,0.831306,0.813501,0.811224,0.82257,0.829627,0.814071,0.805959,0.842463,0.856712,0.823913,0.838782,0.86477,0.862678,0.78987,0.81639,0.853684,0.843312,0.78883,0.813925,0.840653,0.853853
Subject_028,76.1833,77.232064,72.960764,73.729672,74.971561,74.231834,70.982434,74.138703,75.494212,74.911598,72.608812,71.25786,71.987561,70.781115,75.565393,75.448303,73.540591,73.937182,74.981064,76.693383,70.708392,72.692079,69.836283,69.921906,72.857647,71.86644,74.996749,73.370341,72.521211,73.675445,68.556729,69.813837,73.321412,75.511814,74.040182,72.11,72.728265,73.910899,74.283775,71.991209,73.959957,72.962352,74.827312,75.200503,74.826603,74.050348,74.004776,74.663458,75.036675,74.439948,76.825183,73.954169,74.988264,74.243218,74.458377,75.093537,73.591579,76.080273,75.637263,75.808619,74.261766,75.742573,70.256631,73.66515,72.023717,73.870629,77.60957,75.8897,75.510815,73.398403,71.575742,72.095256,73.331834,74.29512,72.943233,73.281917,75.123135,73.493591,71.828339,71.693821,73.151546,71.929933,70.518897,73.666871,73.293072,75.743197,71.321348,70.135047,71.52628,74.789004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.855992,0.867776,0.819784,0.828423,0.842377,0.834066,0.797555,0.833019,0.84825,0.841703,0.815829,0.80065,0.808849,0.795293,0.849049,0.847734,0.826299,0.830755,0.842484,0.861723,0.794476,0.816765,0.784677,0.785639,0.818625,0.807488,0.84266,0.824386,0.814845,0.827814,0.7703,0.784425,0.823836,0.848447,0.831912,0.810225,0.817172,0.83046,0.834649,0.80889,0.831011,0.819802,0.840756,0.844949,0.840748,0.832026,0.831514,0.838915,0.843109,0.836404,0.863204,0.830946,0.842565,0.834193,0.836611,0.843748,0.826872,0.854835,0.849857,0.851782,0.834402,0.85104,0.7894,0.827698,0.809255,0.830007,0.872018,0.852693,0.848436,0.824701,0.804222,0.810059,0.823953,0.834777,0.819587,0.823392,0.84408,0.825771,0.80706,0.805549,0.821927,0.808201,0.792347,0.827718,0.823518,0.851047,0.801363,0.788034,0.803666,0.840326
Subject_032,79.690391,78.116361,78.918685,79.82558,76.167605,73.306795,78.724142,77.372869,74.476922,75.708719,73.711565,72.455491,74.555633,73.909961,74.753988,75.494757,75.430738,76.920293,79.96533,79.044022,75.189197,75.738657,76.83955,78.49319,75.757964,75.969718,74.487252,74.205356,72.133888,77.631821,74.164371,71.67137,78.766141,79.162474,75.780952,75.85931,76.359611,77.805334,73.815927,75.412127,75.946584,75.253536,76.283552,77.503326,76.837825,77.930309,76.205556,78.396119,76.590703,78.036264,78.634438,80.647663,77.25635,77.219115,74.009814,74.761518,79.021827,78.458109,78.624754,79.032856,79.435231,78.702339,78.892184,78.261211,78.833888,79.545031,79.873319,79.54438,78.211361,77.403409,69.97562,71.477304,73.23781,72.882136,72.686709,73.030816,74.808677,74.835404,72.979961,73.361502,79.443312,76.990013,77.696557,74.772715,77.901228,78.501856,72.271203,70.299121,75.831949,77.083418,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.895398,0.877712,0.886727,0.896917,0.855816,0.823672,0.884541,0.869358,0.836819,0.85066,0.82822,0.814107,0.837704,0.830449,0.839932,0.848256,0.847536,0.864273,0.898487,0.888135,0.844822,0.850996,0.863366,0.881946,0.851213,0.853592,0.836935,0.833768,0.810493,0.872268,0.833308,0.805296,0.885013,0.889466,0.851471,0.852352,0.857973,0.874217,0.829392,0.847327,0.853332,0.845545,0.857119,0.870824,0.863346,0.875621,0.856242,0.880855,0.86057,0.876812,0.883533,0.906154,0.868049,0.867631,0.831571,0.840017,0.887886,0.881552,0.883424,0.88801,0.892531,0.884296,0.886429,0.879339,0.885774,0.893764,0.897453,0.893757,0.878779,0.869701,0.786243,0.803116,0.822897,0.8189,0.816705,0.820571,0.840547,0.840847,0.82,0.824287,0.892621,0.865056,0.872995,0.840143,0.875295,0.882043,0.812036,0.789878,0.852044,0.866106
Subject_044,77.012284,76.099776,74.943595,75.198539,76.078738,76.047141,76.074918,76.532698,75.325546,72.549828,75.877313,75.654261,74.858911,74.983363,76.885861,76.756555,74.576427,74.174485,77.384071,76.300086,77.076735,74.032338,70.059492,69.050497,72.264425,73.649811,75.396365,75.741001,76.793314,76.848672,74.46104,75.728853,74.726245,75.601413,71.01135,70.831406,69.463852,72.737048,71.105878,72.419389,75.480778,73.841554,76.586781,75.706639,77.02699,77.904355,74.330609,75.864999,76.063822,75.917411,77.621984,75.121186,75.423311,74.728292,70.922532,73.391995,76.193492,77.252117,73.436373,75.266523,72.073343,74.773478,69.327605,73.634498,75.243985,68.745283,75.465067,72.223519,76.297331,75.341411,75.226129,75.490203,76.384676,76.395385,75.480202,75.15462,70.705954,72.173913,72.696062,72.600418,73.322459,72.02002,74.325676,72.637957,70.412042,71.407892,71.621907,73.459465,71.669849,73.155549,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.865307,0.855054,0.842063,0.844927,0.854817,0.854462,0.854774,0.859918,0.846354,0.815167,0.852554,0.850048,0.841111,0.84251,0.863886,0.862433,0.837937,0.833421,0.869484,0.857304,0.866031,0.831824,0.787185,0.775848,0.81196,0.827526,0.84715,0.851022,0.862846,0.863468,0.836641,0.850886,0.839621,0.849454,0.79788,0.795858,0.780493,0.81727,0.798942,0.813701,0.848099,0.82968,0.860526,0.850636,0.865472,0.87533,0.835175,0.852416,0.85465,0.853005,0.872157,0.844058,0.847453,0.839644,0.796882,0.824629,0.856107,0.868001,0.825128,0.845691,0.809813,0.840151,0.778962,0.827354,0.845438,0.772419,0.847922,0.8115,0.857273,0.846533,0.845237,0.848205,0.858255,0.858375,0.848092,0.844434,0.794449,0.810943,0.81681,0.815735,0.823848,0.809214,0.83512,0.816157,0.791147,0.802336,0.804741,0.825387,0.805279,0.821972
