,Deg,Cc,Ne
Subject_001,8.532491,0.67553,0.17843
Subject_002,9.085626,0.682877,0.181906
Subject_006,14.641869,0.821219,0.231357
Subject_007,10.574565,0.714854,0.20817
Subject_008,8.234013,0.648556,0.176805
Subject_012,11.970095,0.727181,0.220138
Subject_016,13.321046,0.761102,0.223355
Subject_028,9.684994,0.726136,0.181372
Subject_032,9.958749,0.726845,0.176462
Subject_044,14.175017,0.801675,0.229423
Subject_047,10.969333,0.759593,0.186722
Subject_048,9.873573,0.700069,0.183474
Subject_051,12.800324,0.757124,0.23171
Subject_052,22.40959,0.919025,0.296835
Subject_054,12.49983,0.80905,0.212214
