,deg,cc,ne,deg,cc,ne,deg,cc,ne,deg,cc,ne
0,5.329068,0.910315,0.324564,4.019557,0.766623,0.208728,1.500925,0.901371,0.226694,5.883022,0.824423,0.244727
1,3.586734,0.839252,0.239683,4.281062,0.793619,0.209412,1.670572,0.912486,0.245548,5.454166,0.807765,0.239272
2,5.445725,0.905069,0.33467,6.660209,0.922115,0.275381,1.70716,0.936582,0.240027,8.082492,0.944842,0.291314
3,7.102141,0.948129,0.406725,7.714913,0.887525,0.328969,2.035208,0.904974,0.283696,6.250128,0.82674,0.269477
4,3.260855,0.750467,0.24722,3.047286,0.710062,0.177427,1.706677,0.907992,0.238798,4.52437,0.77311,0.217446
5,5.81042,0.916888,0.362466,4.63089,0.794108,0.242285,1.922708,0.754912,0.29582,9.204369,0.919456,0.339261
6,5.605921,0.855228,0.344848,4.15105,0.754808,0.21236,1.551013,0.865228,0.223153,9.250646,0.917983,0.34263
7,3.95416,0.839785,0.267377,4.132803,0.793935,0.20509,1.013842,0.753733,0.166781,6.169253,0.898472,0.240836
8,4.907442,0.902207,0.300942,3.001165,0.738676,0.154995,1.084958,0.835798,0.169832,6.623619,0.88254,0.25875
9,6.832111,0.985634,0.380164,5.98257,0.862868,0.266676,2.214495,0.925583,0.312575,9.204299,0.938362,0.331798
10,4.346948,0.889671,0.264897,2.880473,0.723835,0.152995,1.660759,0.938413,0.243036,6.565629,0.85357,0.263108
11,2.865811,0.742916,0.214013,3.240229,0.741449,0.171284,1.539605,0.710126,0.233849,6.002516,0.814672,0.24963
12,7.316976,0.963544,0.414257,5.941643,0.825732,0.276069,2.105291,0.846012,0.307392,6.85588,0.83172,0.292661
13,8.969869,0.985462,0.482515,7.602608,0.9231,0.313996,2.016526,0.947675,0.270391,9.558816,0.935277,0.351736
14,4.825141,0.921814,0.292125,5.016904,0.837754,0.239949,1.717932,0.846312,0.252816,7.645568,0.924292,0.287307
