,deg,cc,ne,deg,cc,ne,deg,cc,ne,deg,cc,ne
0,6.65014,0.863069,0.264281,4.134819,0.715414,0.175212,2.522111,0.871973,0.315001,1.821473,0.950086,0.387914
1,5.725217,0.818219,0.234607,4.438757,0.716146,0.17705,2.351325,0.954473,0.282121,2.365228,1.0,0.473046
2,9.674814,0.957323,0.33104,7.060444,0.840523,0.228936,3.037005,1.0,0.35013,1.336535,0.940515,0.290262
3,7.691732,0.906853,0.286495,7.542694,0.810648,0.263227,3.131451,0.93366,0.385173,2.767106,1.0,0.553421
4,4.817074,0.750995,0.221053,4.520088,0.72632,0.183145,3.017014,0.952746,0.355125,1.397528,0.861763,0.325162
5,11.008384,0.962933,0.374361,5.028413,0.719065,0.208068,3.016595,0.756946,0.379633,2.724558,1.0,0.545586
6,13.493506,0.989236,0.433181,4.72176,0.709362,0.186465,2.543529,0.772246,0.321374,2.461441,1.0,0.495126
7,8.011441,0.960267,0.272623,4.60953,0.735426,0.181322,1.97051,0.844588,0.255963,1.276733,0.666667,0.255347
8,7.486187,0.908091,0.270869,3.714489,0.688086,0.146683,2.461833,0.963965,0.289224,2.421842,1.0,0.484368
9,10.55735,0.982636,0.350658,6.784945,0.818507,0.233736,3.26101,0.9687,0.382374,1.889343,0.917249,0.420704
10,8.062528,0.916234,0.287801,3.836881,0.70108,0.151489,2.109368,0.966064,0.249055,2.981072,1.0,0.596214
11,6.23532,0.851987,0.248156,3.948013,0.679761,0.161637,1.91524,0.899525,0.245561,1.514091,0.907921,0.329308
12,9.009693,0.882879,0.341485,6.199444,0.765611,0.231848,3.361026,0.929628,0.399828,2.883619,1.0,0.580871
13,13.704686,0.994679,0.43896,9.463514,0.912508,0.278172,3.812381,0.978934,0.437664,2.251962,1.0,0.451691
14,8.467835,0.943191,0.297014,5.553425,0.796132,0.205034,2.992046,0.967044,0.348884,2.727087,1.0,0.545417
