,Deg,Cc,Ne
Subject_001,13.956491,0.812549,0.219161
Subject_002,13.382801,0.763677,0.230279
Subject_006,13.515199,0.804483,0.217144
Subject_007,12.208874,0.764467,0.210262
Subject_008,13.4035,0.736787,0.237878
Subject_012,14.005869,0.787992,0.228178
Subject_016,12.174317,0.754301,0.209144
Subject_028,9.566783,0.700506,0.183064
Subject_032,16.06063,0.814699,0.245127
Subject_044,13.056359,0.756919,0.231777
Subject_047,8.324632,0.698573,0.158159
Subject_048,9.202805,0.695765,0.177042
Subject_051,13.467141,0.803193,0.216875
Subject_052,18.7708,0.860623,0.272306
Subject_054,13.175076,0.807056,0.230952
