,deg,cc,ne,deg,cc,ne,deg,cc,ne,deg,cc,ne
0,5.320657,0.881527,0.325871,4.602085,0.853351,0.209557,1.384155,0.791181,0.205269,7.851158,0.943065,0.288212
1,5.821388,0.890323,0.361615,6.332298,0.873823,0.283464,2.365085,0.952837,0.326387,9.018045,0.926005,0.333817
2,4.937402,0.889764,0.312054,5.62975,0.917277,0.241912,1.52045,0.869102,0.231906,8.468805,0.946574,0.301504
3,6.247189,0.973996,0.350472,5.961613,0.878642,0.255586,1.336583,0.854984,0.220963,7.895318,0.899912,0.30262
4,4.667486,0.817458,0.31713,6.991221,0.871599,0.30811,1.918021,0.811113,0.31267,8.839009,0.921406,0.327781
5,6.13083,0.923802,0.365022,4.432553,0.797509,0.216533,2.415569,0.950926,0.333841,9.422532,0.945382,0.336562
6,5.817903,0.911619,0.345068,4.546253,0.795465,0.21823,1.723294,0.92623,0.234418,7.689973,0.858828,0.302285
7,4.559946,0.837818,0.298579,4.906516,0.818367,0.232611,1.408769,0.857646,0.22324,5.668147,0.838946,0.229682
8,7.611264,0.961843,0.419499,4.31348,0.812457,0.210245,1.461821,0.81174,0.217691,9.67943,0.903425,0.366658
9,6.434527,0.901871,0.386089,6.71261,0.859216,0.296958,2.661967,0.939667,0.366535,5.093747,0.74608,0.242172
10,3.672898,0.849232,0.239822,2.710934,0.694897,0.147204,1.24847,0.710879,0.195444,4.506739,0.781368,0.201298
11,2.587185,0.742957,0.198474,4.942408,0.851197,0.222943,1.574903,0.796791,0.249057,6.592364,0.885823,0.258724
12,6.396683,0.965354,0.365682,3.833161,0.79765,0.192314,2.00411,0.894217,0.286343,7.213266,0.872523,0.28311
13,7.307548,0.951579,0.419687,5.900391,0.8587,0.266194,2.559593,0.960454,0.336493,8.56424,0.905462,0.324671
14,4.685226,0.854995,0.307258,6.520228,0.886558,0.294656,2.163597,0.841095,0.322518,7.810783,0.907255,0.303271
