,deg,cc,ne,deg,cc,ne,deg,cc,ne,deg,cc,ne
0,10.653684,0.983518,0.351255,4.924516,0.759812,0.180961,2.873016,0.944105,0.334817,1.537201,1.0,0.312594
1,10.852086,0.96113,0.367444,6.573464,0.797246,0.235274,2.964217,0.937848,0.358253,2.424706,1.0,0.491771
2,10.2329,0.970021,0.342409,6.375703,0.850704,0.211509,2.417074,0.958413,0.282554,1.393904,0.927972,0.292654
3,7.208984,0.891412,0.272008,6.320686,0.801543,0.219003,2.910024,0.981881,0.331693,3.355908,1.0,0.671182
4,10.199359,0.951525,0.351606,7.718321,0.790854,0.26641,2.886393,0.914457,0.361643,1.848189,0.922997,0.395672
5,10.048565,0.945702,0.346943,4.934582,0.722718,0.19311,3.533086,1.0,0.397132,2.876598,1.0,0.57532
6,9.747206,0.957149,0.33403,4.768574,0.72666,0.183108,3.256086,0.984432,0.370387,2.382828,1.0,0.476566
7,7.057478,0.921815,0.254546,5.300434,0.750165,0.203408,2.53126,0.871229,0.313928,1.223233,0.60053,0.295075
8,13.958129,0.992524,0.444535,5.421412,0.76881,0.197437,2.97285,0.905411,0.353084,3.032879,1.0,0.606576
9,8.024969,0.87535,0.309349,7.837298,0.827512,0.266659,3.129756,0.931013,0.374812,1.750858,0.781251,0.383184
10,5.310909,0.863922,0.209576,3.603653,0.669034,0.144473,2.036147,0.965434,0.244462,2.701474,1.0,0.540295
11,6.610383,0.882269,0.251169,5.079974,0.777626,0.186308,1.672005,0.856504,0.221999,1.970242,1.0,0.405641
12,9.962923,0.958843,0.338407,4.943852,0.781139,0.184205,3.239008,1.0,0.365404,2.455728,1.0,0.495858
13,12.077411,0.981967,0.395015,7.951049,0.847458,0.253804,3.268998,0.941743,0.382781,2.193675,0.948472,0.455021
14,8.815693,0.930208,0.315895,7.631429,0.847028,0.262531,3.319927,0.966931,0.38542,2.61481,1.0,0.522962
